molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
EC,-0.6699999999999993,0.7300000000000006,4.2871970724729274e-05,-4.2871970724729274e-05
EC,-0.6599999999999993,0.7400000000000007,2.9119693639004843e-05,-2.9119693639004843e-05
EC,-0.6499999999999992,0.7500000000000007,1.9778722612502146e-05,-1.9778722612502146e-05
EC,-0.6399999999999992,0.7600000000000007,1.3434093806854192e-05,-1.3434093806854192e-05
EC,-0.6299999999999992,0.7700000000000007,9.12467971932051e-06,-9.12467971932051e-06
EC,-0.6199999999999992,0.7800000000000007,6.19763908746037e-06,-6.19763908746037e-06
EC,-0.6099999999999992,0.7900000000000007,4.209538896061317e-06,-4.209538896061317e-06
EC,-0.5999999999999992,0.8000000000000007,2.859186565442341e-06,-2.859186565442341e-06
EC,-0.5899999999999992,0.8100000000000007,1.9420046890382263e-06,-1.9420046890382263e-06
EC,-0.5799999999999992,0.8200000000000007,1.3190398794608462e-06,-1.3190398794608462e-06
EC,-0.5699999999999992,0.8300000000000007,8.959122837024748e-07,-8.959122837024748e-07
EC,-0.5599999999999992,0.8400000000000007,6.085173948416317e-07,-6.085173948416317e-07
EC,-0.5499999999999992,0.8500000000000008,4.133143304570974e-07,-4.133143304570974e-07
EC,-0.5399999999999991,0.8600000000000008,2.8072940315645694e-07,-2.8072940315645694e-07
EC,-0.5299999999999991,0.8700000000000008,1.906756883013929e-07,-1.906756883013929e-07
EC,-0.5199999999999991,0.8800000000000008,1.295098292168019e-07,-1.295098292168019e-07
EC,-0.5099999999999991,0.8900000000000008,8.796504517216053e-08,-8.796504517216053e-08
EC,-0.4999999999999991,0.9000000000000008,5.97471953736044e-08,-5.97471953736044e-08
EC,-0.4899999999999991,0.9100000000000008,4.0581202632392465e-08,-4.0581202632392465e-08
EC,-0.4799999999999991,0.9200000000000008,2.7563369069769656e-08,-2.7563369069769656e-08
EC,-0.4699999999999991,0.9300000000000008,1.8721458754829755e-08,-1.8721458754829755e-08
EC,-0.4599999999999991,0.9400000000000008,1.2715898989977799e-08,-1.2715898989977799e-08
EC,-0.44999999999999907,0.9500000000000008,8.636831612819818e-09,-8.636831612819818e-09
EC,-0.43999999999999906,0.9600000000000009,5.8662671250683174e-09,-5.8662671250683174e-09
EC,-0.42999999999999905,0.9700000000000009,3.98445766859604e-09,-3.98445766859604e-09
EC,-0.41999999999999904,0.9800000000000009,2.7063041223280914e-09,-2.7063041223280914e-09
